ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;15/01/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;100.00;100.00;;Imaturo;
AMARELO;;;;0.00;;Pré-Maduro;
LARANJA;;;;0.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;22/01/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;46.00;46.00;;Imaturo;
AMARELO;;;54.00;54.00;;Pré-Maduro;
LARANJA;;;;0.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;30/01/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;42.70;42.70;;Imaturo;
AMARELO;;;56.30;56.30;;Pré-Maduro;
LARANJA;;;1.00;1.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;10/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;20.50;20.50;;Imaturo;
AMARELO;;;43.40;43.40;;Pré-Maduro;
LARANJA;;;14.40;36.10;;Maduro;
MARROM;;;21.70;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;17/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;6.00;6.00;;Imaturo;
AMARELO;;;44.20;44.20;;Pré-Maduro;
LARANJA;;;30.70;49.80;;Maduro;
MARROM;;;13.40;;;;
PRETA;;;5.70;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;;
DATA;20/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;OL3;;;DATA DO PLANTIO;;22 A 25/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;14.40;14.40;;Imaturo;
AMARELO;;;30.90;30.90;;Pré-Maduro;
LARANJA;;;27.00;54.70;;Maduro;
MARROM;;;11.60;;;;
PRETA;;;16.10;;;;
TOTAL;0;;100.00;;;;